Host Parallel Execution Space:
  KOKKOS_ENABLE_OPENMP: yes

OpenMP Runtime Configuration:
Kokkos::OpenMP thread_pool_topology[ 1 x 48 x 1 ]
Reading ParaDiS configuration
 Input file: /data/home/dg000246b/openDIS/HomeWork/init_data_pure/init_config.data
 nodes: 4163, segments: 3927
 Warning: Burgers vector is not conserved for 472 node(s)
Step =      0: nodes = 4163, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.3 sec
Step =    120: nodes = 610, dt = 1.000000e-07, strain = 6.184206e-03, elapsed = 146.0 sec
Step =    121: nodes = 610, dt = 1.000000e-07, strain = 6.284206e-03, elapsed = 147.9 sec
Step =    122: nodes = 610, dt = 1.000000e-07, strain = 6.384206e-03, elapsed = 149.8 sec
Step =    123: nodes = 610, dt = 1.000000e-07, strain = 6.484206e-03, elapsed = 151.6 sec
Step =    124: nodes = 610, dt = 1.000000e-07, strain = 6.584206e-03, elapsed = 153.4 sec
Step =    125: nodes = 610, dt = 1.000000e-07, strain = 6.684206e-03, elapsed = 155.1 sec
Step =    126: nodes = 609, dt = 1.000000e-07, strain = 6.784206e-03, elapsed = 156.8 sec
Step =    127: nodes = 609, dt = 1.000000e-07, strain = 6.884206e-03, elapsed = 158.4 sec
Step =    128: nodes = 609, dt = 1.000000e-07, strain = 6.984206e-03, elapsed = 160.2 sec
Step =    129: nodes = 609, dt = 1.000000e-07, strain = 7.084206e-03, elapsed = 162.1 sec
Step =    130: nodes = 608, dt = 1.000000e-07, strain = 7.184206e-03, elapsed = 164.2 sec
Step =    131: nodes = 608, dt = 1.000000e-07, strain = 7.284206e-03, elapsed = 165.8 sec
Step =    132: nodes = 609, dt = 1.000000e-07, strain = 7.384206e-03, elapsed = 167.4 sec
Step =    133: nodes = 608, dt = 1.000000e-07, strain = 7.484206e-03, elapsed = 169.1 sec
Step =    134: nodes = 608, dt = 1.000000e-07, strain = 7.584206e-03, elapsed = 170.8 sec
Step =    135: nodes = 608, dt = 1.000000e-07, strain = 7.684206e-03, elapsed = 172.5 sec
Step =    136: nodes = 608, dt = 1.000000e-07, strain = 7.784206e-03, elapsed = 174.1 sec
Step =    137: nodes = 608, dt = 1.000000e-07, strain = 7.884206e-03, elapsed = 175.8 sec
Step =    138: nodes = 608, dt = 1.000000e-07, strain = 7.984206e-03, elapsed = 177.5 sec
Step =    139: nodes = 608, dt = 1.000000e-07, strain = 8.084206e-03, elapsed = 179.4 sec
Step =    140: nodes = 608, dt = 1.000000e-07, strain = 8.184206e-03, elapsed = 181.0 sec
Step =    141: nodes = 609, dt = 1.000000e-07, strain = 8.284206e-03, elapsed = 182.9 sec
Step =    142: nodes = 608, dt = 1.000000e-07, strain = 8.384206e-03, elapsed = 184.8 sec
Step =    143: nodes = 608, dt = 1.000000e-07, strain = 8.484206e-03, elapsed = 186.5 sec
Step =    144: nodes = 607, dt = 1.000000e-07, strain = 8.584206e-03, elapsed = 188.4 sec
Step =    145: nodes = 607, dt = 1.000000e-07, strain = 8.684206e-03, elapsed = 190.0 sec
Step =    146: nodes = 607, dt = 1.000000e-07, strain = 8.784206e-03, elapsed = 191.9 sec
Step =    147: nodes = 607, dt = 1.000000e-07, strain = 8.884206e-03, elapsed = 193.8 sec
Step =    148: nodes = 607, dt = 1.000000e-07, strain = 8.984206e-03, elapsed = 195.7 sec
Step =    149: nodes = 606, dt = 1.000000e-07, strain = 9.084206e-03, elapsed = 197.6 sec
Step =    150: nodes = 606, dt = 1.000000e-07, strain = 9.184206e-03, elapsed = 199.3 sec
Writing configuration in legacy data format
 Output file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc_pure/config.150.data
Writing restart file
 Restart file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc_pure/restart.150.exadis
Step =    151: nodes = 606, dt = 1.000000e-07, strain = 9.284206e-03, elapsed = 201.2 sec
Step =    152: nodes = 607, dt = 1.000000e-07, strain = 9.384206e-03, elapsed = 203.0 sec
Step =    153: nodes = 606, dt = 1.000000e-07, strain = 9.484206e-03, elapsed = 204.9 sec
Step =    154: nodes = 606, dt = 1.000000e-07, strain = 9.584206e-03, elapsed = 206.8 sec
Step =    155: nodes = 606, dt = 1.000000e-07, strain = 9.684206e-03, elapsed = 208.8 sec
Step =    156: nodes = 606, dt = 1.000000e-07, strain = 9.784206e-03, elapsed = 210.9 sec
Step =    157: nodes = 606, dt = 1.000000e-07, strain = 9.884206e-03, elapsed = 213.0 sec
Step =    158: nodes = 606, dt = 1.000000e-07, strain = 9.984206e-03, elapsed = 215.0 sec
Step =    159: nodes = 606, dt = 1.000000e-07, strain = 1.008421e-02, elapsed = 216.9 sec
----------------------------------------------
Force time:               93.694 sec (43.20%)
Mobility time:            30.625 sec (14.12%)
Integration time:        184.128 sec (84.89%)
Cross-slip time:           0.000 sec (0.00%)
Collision time:            0.206 sec (0.10%)
Topology time:             0.067 sec (0.03%)
Remesh time:               0.007 sec (0.00%)
Output time:               0.042 sec (0.02%)
----------------------------------------------
RUN TIME: 216.894520 sec
