Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

Host Parallel Execution Space:
  KOKKOS_ENABLE_OPENMP: yes

OpenMP Runtime Configuration:
Kokkos::OpenMP thread_pool_topology[ 1 x 48 x 1 ]
Reading ParaDiS configuration
 Input file: 180chains_16.10e.data
 nodes: 5055, segments: 5930
 Burgers vector is conserved for all nodes
Step =      0: nodes = 5055, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.0 sec
Writing configuration in legacy data format
 Output file: output_fcc_Cu_15um_1e3/config.0.data
Writing restart file
 Restart file: output_fcc_Cu_15um_1e3/restart.0.exadis
Run until reaching strain = 0.010000
Step =     75: nodes = 11383, dt = 8.011451e-10, strain = 4.026813e-05, elapsed = 134.4 sec
Step =     76: nodes = 11383, dt = 4.806870e-10, strain = 4.074881e-05, elapsed = 135.8 sec
Step =     77: nodes = 11384, dt = 4.806870e-10, strain = 4.122950e-05, elapsed = 136.9 sec
Step =     78: nodes = 11386, dt = 5.768244e-10, strain = 4.180632e-05, elapsed = 138.5 sec
Step =     79: nodes = 11390, dt = 6.921893e-10, strain = 4.249851e-05, elapsed = 139.9 sec
Step =     80: nodes = 11388, dt = 8.306272e-10, strain = 4.332914e-05, elapsed = 141.6 sec
Step =     81: nodes = 11407, dt = 4.983763e-10, strain = 4.382752e-05, elapsed = 143.1 sec
Step =     82: nodes = 11408, dt = 4.983763e-10, strain = 4.432589e-05, elapsed = 144.4 sec
Step =     83: nodes = 11410, dt = 5.980516e-10, strain = 4.492394e-05, elapsed = 145.7 sec
Step =     84: nodes = 11415, dt = 7.176619e-10, strain = 4.564161e-05, elapsed = 147.1 sec
Step =     85: nodes = 11423, dt = 8.611943e-10, strain = 4.650280e-05, elapsed = 149.5 sec
Step =     86: nodes = 11421, dt = 5.000000e-10, strain = 4.700280e-05, elapsed = 151.0 sec
Step =     87: nodes = 11444, dt = 5.000000e-10, strain = 4.750280e-05, elapsed = 152.7 sec
Step =     88: nodes = 11432, dt = 6.000000e-10, strain = 4.810280e-05, elapsed = 154.5 sec
Step =     89: nodes = 11438, dt = 7.200000e-10, strain = 4.882280e-05, elapsed = 156.4 sec
Step =     90: nodes = 11447, dt = 8.640000e-10, strain = 4.968680e-05, elapsed = 159.1 sec
Step =     91: nodes = 11462, dt = 5.000000e-10, strain = 5.018680e-05, elapsed = 160.7 sec
Step =     92: nodes = 11465, dt = 5.000000e-10, strain = 5.068680e-05, elapsed = 162.2 sec
Step =     93: nodes = 11479, dt = 6.000000e-10, strain = 5.128680e-05, elapsed = 163.9 sec
Step =     94: nodes = 11469, dt = 7.200000e-10, strain = 5.200680e-05, elapsed = 166.4 sec
Step =     95: nodes = 11486, dt = 8.640000e-10, strain = 5.287080e-05, elapsed = 168.9 sec
Step =     96: nodes = 11480, dt = 5.000000e-10, strain = 5.337080e-05, elapsed = 170.5 sec
Step =     97: nodes = 11492, dt = 5.000000e-10, strain = 5.387080e-05, elapsed = 171.8 sec
Step =     98: nodes = 11505, dt = 6.000000e-10, strain = 5.447080e-05, elapsed = 173.4 sec
Step =     99: nodes = 11490, dt = 7.200000e-10, strain = 5.519080e-05, elapsed = 175.3 sec
Step =    100: nodes = 11497, dt = 8.640000e-10, strain = 5.605480e-05, elapsed = 177.6 sec
Writing configuration in legacy data format
 Output file: output_fcc_Cu_15um_1e3/config.100.data
Writing restart file
 Restart file: output_fcc_Cu_15um_1e3/restart.100.exadis
Step =    101: nodes = 11512, dt = 1.000000e-09, strain = 5.705480e-05, elapsed = 181.2 sec
Step =    102: nodes = 11511, dt = 5.000000e-10, strain = 5.755480e-05, elapsed = 185.5 sec
Step =    103: nodes = 11506, dt = 5.000000e-10, strain = 5.805480e-05, elapsed = 187.0 sec
Step =    104: nodes = 11504, dt = 6.000000e-10, strain = 5.865480e-05, elapsed = 189.9 sec
Step =    105: nodes = 11518, dt = 7.200000e-10, strain = 5.937480e-05, elapsed = 191.5 sec
Step =    106: nodes = 11525, dt = 8.640000e-10, strain = 6.023880e-05, elapsed = 193.1 sec
Step =    107: nodes = 11529, dt = 5.000000e-10, strain = 6.073880e-05, elapsed = 194.4 sec
Step =    108: nodes = 11533, dt = 5.000000e-10, strain = 6.123880e-05, elapsed = 195.8 sec
Step =    109: nodes = 11541, dt = 6.000000e-10, strain = 6.183880e-05, elapsed = 197.2 sec
Step =    110: nodes = 11533, dt = 7.200000e-10, strain = 6.255880e-05, elapsed = 198.7 sec
Step =    111: nodes = 11544, dt = 4.320000e-10, strain = 6.299080e-05, elapsed = 199.9 sec
Step =    112: nodes = 11532, dt = 4.320000e-10, strain = 6.342280e-05, elapsed = 201.2 sec
Step =    113: nodes = 11545, dt = 5.184000e-10, strain = 6.394120e-05, elapsed = 202.4 sec
